loss,acc,val_loss,val_acc,epoch
67.50542449951172,0.8392037153244019,64.72019958496094,0.9356666803359985,1
61.948246002197266,0.939296305179596,58.96343231201172,0.9608333110809326,2
55.876373291015625,0.958907425403595,52.674842834472656,0.9714999794960022,3
49.44331359863281,0.9687777757644653,46.166770935058594,0.9729999899864197,4
42.92833709716797,0.9720740914344788,39.717124938964844,0.9741666913032532,5
36.628047943115234,0.9749629497528076,33.637664794921875,0.9739999771118164,6
30.818967819213867,0.9764999747276306,28.137651443481445,0.9761666655540466,7
25.6701602935791,0.9775370359420776,23.3585147857666,0.9779999852180481,8
21.307079315185547,0.9785740971565247,19.400564193725586,0.9779999852180481,9
17.707427978515625,0.9791666865348816,16.164072036743164,0.9764999747276306,10
14.80188274383545,0.9788703918457031,13.57353401184082,0.9775000214576721,11
