loss,accuracy,val_loss,val_accuracy,epoch
0.25650447607040405,0.920296311378479,0.055354949086904526,0.9838333129882812,1
0.09158078581094742,0.972944438457489,0.0415026918053627,0.9893333315849304,2
0.06738710403442383,0.979629635810852,0.0389227457344532,0.9893333315849304,3
0.056280918419361115,0.9829999804496765,0.03625178709626198,0.9913333058357239,4
0.0486273318529129,0.9850741028785706,0.03681081533432007,0.9904999732971191,5
0.03986743465065956,0.9872962832450867,0.035243213176727295,0.9904999732971191,6
0.0358397401869297,0.988703727722168,0.03475738689303398,0.9915000200271606,7
0.032801102846860886,0.989814817905426,0.040564317256212234,0.9901666641235352,8
0.02944597415626049,0.9903333187103271,0.03713759779930115,0.9908333420753479,9
0.027308693155646324,0.9909814596176147,0.038258060812950134,0.9913333058357239,10
